,weight,strata,utl_exp_ppp17,hsize,age,owner,water,toilet,sewer,elect,num_adult_female,num_adult_male,num_elderly,share_secondary,sfworkershh,any_nonagric,region1,region2,region3,region4,region5,region6,region7,urban,cons_ppp17,water_source_Piped water into dwelling,water_source_Piped water to yard/plot,water_source_Protected dug well,water_source_Protected spring,water_source_Public tap or standpipe,water_source_Surface water,water_source_Tanker-truck,sanitation_source_A septic tank,sanitation_source_No facilities or bush or field,sanitation_source_Other,sanitation_source_Pit latrine,sanitation_source_Pit latrine with slab,dweltyp_Improvised housing unit,dweltyp_Other,dweltyp_Separate apartment,dweltyp_Several buildings connected,educ_max_Complete Secondary Education,educ_max_Complete Tertiary Education,educ_max_Incomplete Primary Education,educ_max_Incomplete Secondary Education,educ_max_Incomplete Tertiary Education,educ_max_Never attended,"sector1d_Agriculture, hunting and forestry",sector1d_Construction,sector1d_Education,"sector1d_Electricity, gas and water supply",sector1d_Financial intermediation,sector1d_Fishing,sector1d_Health and social work,sector1d_Hotels and restaurants,sector1d_Manufacturing,sector1d_Mining and quarrying,"sector1d_Other community, social and personal service activities",sector1d_Public administration and defence,"sector1d_Real estate, renting and business activities","sector1d_Transport, storage and communications",sector1d_Wholesale and retail trade,total_food_consumption,mean_num_children,mean_employeed_adults
0,75,4,594.80627,1,75,0,0,0,0,0,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,25.258402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,150,4,1676.2723,2,61,0,0,0,0,0,1,0,1,0.0,0.0,0,0,1,0,0,0,0,0,0,16.996706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0.0
2,375,4,506.93719,5,49,0,0,0,0,0,1,2,0,0.33333334,0.5,1,0,1,0,0,0,0,0,0,13.671848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.0,2,1.66666669
3,375,4,824.61786,5,58,1,0,0,0,1,1,3,0,0.25,0.2,1,0,1,0,0,0,0,0,0,7.1894746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.0,1,2.25
4,525,4,351.47644,7,57,0,0,0,0,0,2,3,1,0.33333334,0.5,1,0,1,0,0,0,0,0,0,12.308855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,1.66666669
5,216,4,114.90576,2,79,1,0,0,0,0,0,0,2,0.0,0.0,0,0,1,0,0,0,0,0,0,4.4969716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0.0
6,648,4,966.56024,6,65,0,0,0,0,0,3,2,0,0.40000001,0.5,1,0,1,0,0,0,0,0,0,23.149488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.0,1,1.80000001
7,432,4,912.48694,4,68,0,0,0,0,0,1,3,0,0.5,0.0,1,0,1,0,0,0,0,0,0,18.026398,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.0,0,1.75
8,648,4,777.30371,6,70,0,0,0,0,0,2,1,1,0.25,1.0,1,0,1,0,0,0,0,0,0,5.346746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,2,0.25
9,222,6,40.554974,3,72,0,0,0,1,0,0,1,1,0.5,0.33333334,1,0,0,0,0,1,0,0,1,6.5374041,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,1,2.5
